id,company,cpu,ram,memory,gpu
194,HP,intel,4,SSD + HDD,AMD
195,Acer,intel,8,SSD + HDD,Nvidia
196,Acer,amd,6,HDD,AMD
197,Vero,intel,2,flash,Intel
198,HP,intel,8,SSD + HDD,Intel
199,Asus,intel,16,HDD,Nvidia
200,Asus,intel,64,SSD,Nvidia
201,Lenovo,intel,8,HDD,AMD
202,Razer,intel,8,SSD,Intel
203,MSI,intel,8,HDD,Nvidia
204,HP,intel,6,HDD,Nvidia
205,Apple,intel,4,flash,Intel
206,Dell,intel,2,HDD,Intel
